T21,"Total imports, exports and balance of trade",,,,,,,
Region/Country/Area,,Year,Series,System of trade,System of trade footnote,Value,Footnotes,Source
17,Middle Africa,2015,Balance imports/exports (millions of US dollars),,,"19,179",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
17,Middle Africa,2022,Balance imports/exports (millions of US dollars),,,"56,186",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
17,Middle Africa,2023,Balance imports/exports (millions of US dollars),,,"38,001",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
17,Middle Africa,2024,Balance imports/exports (millions of US dollars),,,"57,090",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
18,Southern Africa,1995,Imports CIF (millions of US dollars),,,"26,745",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
18,Southern Africa,2005,Imports CIF (millions of US dollars),,,"63,786",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
18,Southern Africa,2010,Imports CIF (millions of US dollars),,,"97,723",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
18,Southern Africa,2015,Imports CIF (millions of US dollars),,,"103,942",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
18,Southern Africa,2022,Imports CIF (millions of US dollars),,,"131,784",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
18,Southern Africa,2023,Imports CIF (millions of US dollars),,,"124,601",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
18,Southern Africa,2024,Imports CIF (millions of US dollars),,,"121,941",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
18,Southern Africa,1995,Exports FOB (millions of US dollars),,,"28,214",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
18,Southern Africa,2005,Exports FOB (millions of US dollars),,,"56,076",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
18,Southern Africa,2010,Exports FOB (millions of US dollars),,,"95,232",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
18,Southern Africa,2015,Exports FOB (millions of US dollars),,,"93,420",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
18,Southern Africa,2022,Exports FOB (millions of US dollars),,,"138,750",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
18,Southern Africa,2023,Exports FOB (millions of US dollars),,,"124,562",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
18,Southern Africa,2024,Exports FOB (millions of US dollars),,,"123,535",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
18,Southern Africa,1995,Balance imports/exports (millions of US dollars),,,"1,470",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
18,Southern Africa,2005,Balance imports/exports (millions of US dollars),,,"-7,711",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
18,Southern Africa,2010,Balance imports/exports (millions of US dollars),,,"-2,491",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
18,Southern Africa,2015,Balance imports/exports (millions of US dollars),,,"-10,522",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
18,Southern Africa,2022,Balance imports/exports (millions of US dollars),,,"6,965",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
18,Southern Africa,2023,Balance imports/exports (millions of US dollars),,,-39,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
