country_code,country_name,is_aggregate,is_historical,plotly_name,is_mappable
642,Romania,False,False,Romania,True
643,Russian Federation,False,False,Russia,True
646,Rwanda,False,False,Rwanda,True
638,Réunion,False,False,Réunion,True
654,Saint Helena,False,False,Saint Helena,True
659,Saint Kitts and Nevis,False,False,Saint Kitts and Nevis,True
662,Saint Lucia,False,False,Saint Lucia,True
666,Saint Pierre and Miquelon,False,False,Saint Pierre and Miquelon,True
670,Saint Vincent & Grenadines,False,False,Saint Vincent and the Grenadines,True
882,Samoa,False,False,Samoa,True
678,Sao Tome and Principe,False,False,Sao Tome and Principe,True
682,Saudi Arabia,False,False,Saudi Arabia,True
686,Senegal,False,False,Senegal,True
688,Serbia,False,False,Serbia,True
891,Serbia and Monten. [former],False,True,Serbia and Monten. [former],False
690,Seychelles,False,False,Seychelles,True
694,Sierra Leone,False,False,Sierra Leone,True
702,Singapore,False,False,Singapore,True
703,Slovakia,False,False,Slovakia,True
705,Slovenia,False,False,Slovenia,True
90,Solomon Islands,False,False,Solomon Islands,True
706,Somalia,False,False,Somalia,True
710,South Africa,False,False,South Africa,True
5,South America,True,False,South America,False
728,South Sudan,False,False,South Sudan,True
35,South-eastern Asia,True,False,South-eastern Asia,False
18,Southern Africa,True,False,Southern Africa,False
34,Southern Asia,True,False,Southern Asia,False
39,Southern Europe,True,False,Southern Europe,False
724,Spain,False,False,Spain,True
144,Sri Lanka,False,False,Sri Lanka,True
275,State of Palestine,False,False,Palestine,True
202,Sub-Saharan Africa,True,False,Sub-Saharan Africa,False
729,Sudan,False,False,Sudan,True
736,Sudan [former],False,True,Sudan [former],False
740,Suriname,False,False,Suriname,True
752,Sweden,False,False,Sweden,True
756,Switzerland,False,False,Switzerland,True
760,Syrian Arab Republic,False,False,Syria,True
762,Tajikistan,False,False,Tajikistan,True
764,Thailand,False,False,Thailand,True
626,Timor-Leste,False,False,Timor-Leste,True
768,Togo,False,False,Togo,True
772,Tokelau,False,False,Tokelau,True
776,Tonga,False,False,Tonga,True
